"endTime","artistName","trackName","msPlayed","segPlayed","minPlayed","mesAño"
2019-01-21 01:45:00,"Ramones","Blitzkrieg Bop - 2016 Remaster",2791,2.791,0.05,"enero 19"
2019-01-21 01:45:00,"Timbiriche","Somos Amigos",1552,1.552,0.03,"enero 19"
2019-01-21 01:45:00,"Timbiriche","Somos Amigos",1311,1.311,0.02,"enero 19"
2019-01-21 01:45:00,"Chetes","Completamente",638,0.638,0.01,"enero 19"
2019-01-21 01:45:00,"Chetes","Completamente",912,0.912,0.02,"enero 19"
2019-01-21 01:45:00,"Angelica Maria","Dile Adios",1314,1.314,0.02,"enero 19"
2019-01-21 01:45:00,"Angelica Maria","Dile Adios",460,0.46,0.01,"enero 19"
2019-01-21 01:45:00,"Timbiriche","Corro, Vuelo, Me Acelero",1070,1.07,0.02,"enero 19"
2019-01-21 01:45:00,"Timbiriche","Hoy Tengo Que Decirte Papá",1810,1.81,0.03,"enero 19"
2019-01-21 01:45:00,"Taylor Swift","Shake It Off",1370,1.37,0.02,"enero 19"
2019-01-21 01:45:00,"Leda Moreno","Diablito Loco (Pickle Up a Doodle)",870,0.87,0.01,"enero 19"
2019-01-21 01:45:00,"Leda Moreno","Diablito Loco (Pickle Up a Doodle)",0,0,0,"enero 19"
2019-01-21 02:02:00,"Leda Moreno","Diablito Loco (Pickle Up a Doodle)",137919,137.919,2.3,"enero 19"
2019-01-21 03:53:00,"Chetes","Completamente",18793,18.793,0.31,"enero 19"
2019-01-21 03:53:00,"Leda Moreno","Diablito Loco (Pickle Up a Doodle)",9142,9.142,0.15,"enero 19"
2019-01-21 03:59:00,"Black Sabbath","Iron Man",353594,353.594,5.89,"enero 19"
2019-01-21 04:12:00,"Metallica","The Day That Never Comes",772485,772.485,12.87,"enero 19"
2019-01-21 04:19:00,"Metallica","One",447403,447.403,7.46,"enero 19"
2019-01-21 04:23:00,"Iron Maiden","Run to the Hills - 2015 Remaster",233501,233.501,3.89,"enero 19"
2019-01-21 04:33:00,"Metallica","The Call Of The Ktulu - Live",574229,574.229,9.57,"enero 19"
2019-01-21 04:39:00,"Metallica","Blackened",400592,400.592,6.68,"enero 19"
2019-01-21 04:42:00,"Metallica","Die, Die My Darling",146560,146.56,2.44,"enero 19"
2019-01-21 04:47:00,"Iron Maiden","The Number of the Beast - 2015 Remaster",290575,290.575,4.84,"enero 19"
2019-01-21 04:52:00,"Motörhead","Overkill",313517,313.517,5.23,"enero 19"
2019-01-21 04:56:00,"Marilyn Manson","The Beautiful People",222773,222.773,3.71,"enero 19"
2019-01-21 05:05:00,"Metallica","...And Justice For All",586444,586.444,9.77,"enero 19"
2019-01-21 05:06:00,"Pantera","Walk",46033,46.033,0.77,"enero 19"
2019-01-21 05:06:00,"Metallica","Master Of Puppets",0,0,0,"enero 19"
2019-01-21 05:06:00,"Metallica","Master Of Puppets",1652,1.652,0.03,"enero 19"
2019-01-21 05:06:00,"Metallica","Fight Fire With Fire - Remastered",437,0.437,0.01,"enero 19"
2019-01-21 05:06:00,"Metallica","(Anesthesia) Pulling Teeth - Remastered",1199,1.199,0.02,"enero 19"
2019-01-21 05:06:00,"Metallica","(Anesthesia) Pulling Teeth - Remastered",220,0.22,0,"enero 19"
2019-01-21 05:17:00,"Pantera","Walk",315120,315.12,5.25,"enero 19"
2019-01-21 05:17:00,"Metallica","Master Of Puppets",2823,2.823,0.05,"enero 19"
2019-01-21 05:17:00,"Metallica","Fight Fire With Fire - Remastered",1805,1.805,0.03,"enero 19"
2019-01-21 05:17:00,"Metallica","(Anesthesia) Pulling Teeth - Remastered",3750,3.75,0.06,"enero 19"
2019-01-21 05:24:00,"Metallica","Creeping Death - Live In Mexico City",448192,448.192,7.47,"enero 19"
2019-01-21 05:32:00,"Metallica","Overkill - Live",244970,244.97,4.08,"enero 19"
2019-01-21 05:41:00,"Iron Maiden","The Trooper - 2015 Remaster",252727,252.727,4.21,"enero 19"
2019-01-21 05:50:00,"Motörhead","Ace of Spades",63316,63.316,1.06,"enero 19"
2019-01-21 05:55:00,"Radiohead","True Love Waits (Live In Oslo)",304879,304.879,5.08,"enero 19"
2019-01-21 05:59:00,"Oasis","Don't Look Back in Anger - Remastered",289554,289.554,4.83,"enero 19"
2019-01-21 06:03:00,"Travis","Re-Offender",228067,228.067,3.8,"enero 19"
2019-01-21 06:08:00,"Travis","Some Sad Song",278906,278.906,4.65,"enero 19"
2019-01-21 06:12:00,"Arctic Monkeys","The View From The Afternoon",222946,222.946,3.72,"enero 19"
2019-01-21 06:17:00,"Coldplay","Square One",287634,287.634,4.79,"enero 19"
2019-01-21 06:21:00,"The Smiths","There Is a Light That Never Goes Out - 2008 Remaster",245250,245.25,4.09,"enero 19"
2019-01-21 06:26:00,"Coldplay","Speed of Sound",287906,287.906,4.8,"enero 19"
2019-01-21 06:31:00,"Coldplay","Trouble",273426,273.426,4.56,"enero 19"
2019-01-21 06:38:00,"Coldplay","Everything's Not Lost - Includes Hidden Track 'Life Is For Living'",436397,436.397,7.27,"enero 19"
2019-01-21 06:41:00,"Arctic Monkeys","I Bet You Look Good On The Dancefloor",173680,173.68,2.89,"enero 19"
2019-01-21 06:46:00,"Semisonic","Secret Smile",277693,277.693,4.63,"enero 19"
2019-01-21 06:50:00,"Travis","Side",239240,239.24,3.99,"enero 19"
2019-01-21 06:53:00,"Placebo","This Picture",214906,214.906,3.58,"enero 19"
2019-01-21 06:56:00,"Kasabian","L.S.F.",197600,197.6,3.29,"enero 19"
2019-01-21 07:02:00,"Oasis","Stop Crying Your Heart Out",305390,305.39,5.09,"enero 19"
2019-01-21 07:09:00,"Oasis","Champagne Supernova - Remastered",451304,451.304,7.52,"enero 19"
2019-01-21 07:14:00,"Arctic Monkeys","Do I Wanna Know?",272394,272.394,4.54,"enero 19"
2019-01-21 07:14:00,"Arctic Monkeys","When The Sun Goes Down",7026,7.026,0.12,"enero 19"
2019-01-21 07:17:00,"Peter Bjorn and John","Far Away, By My Side",201782,201.782,3.36,"enero 19"
2019-01-21 07:21:00,"Placebo","Special K",232293,232.293,3.87,"enero 19"
2019-01-21 07:24:00,"Kaiser Chiefs","Ruby",206146,206.146,3.44,"enero 19"
2019-01-21 07:28:00,"Travis","Flowers in the Window",221659,221.659,3.69,"enero 19"
2019-01-21 07:32:00,"Blur","Out of Time",233361,233.361,3.89,"enero 19"
2019-01-21 07:37:00,"Coldplay","Til Kingdom Come",204467,204.467,3.41,"enero 19"
2019-01-21 13:09:00,"31 Minutos","Cómete Tus Vegetales",101379,101.379,1.69,"enero 19"
2019-01-21 13:09:00,"31 Minutos","Quiero Hacer Mi Show...",4227,4.227,0.07,"enero 19"
2019-01-21 13:10:00,"31 Minutos","Guácala",64589,64.589,1.08,"enero 19"
2019-01-21 13:12:00,"31 Minutos","Mi Muñeca Me Habló - Flor Bovina",125482,125.482,2.09,"enero 19"
2019-01-21 13:15:00,"31 Minutos","El Señor Interesante",10078,10.078,0.17,"enero 19"
2019-01-21 13:15:00,"31 Minutos","Ríe",122138,122.138,2.04,"enero 19"
2019-01-21 13:16:00,"31 Minutos","Boing, Boing, Boing - Tío Horacio y Sus Queridos Personajes",55200,55.2,0.92,"enero 19"
2019-01-21 13:17:00,"31 Minutos","Mi Castillo De Blanca Arena Con Vista al Mar",94571,94.571,1.58,"enero 19"
2019-01-21 13:17:00,"31 Minutos","Me Cortaron Mal el Pelo - Chascoberto",8031,8.031,0.13,"enero 19"
2019-01-21 13:19:00,"31 Minutos","Maguito Explosivo - Flacosis",104398,104.398,1.74,"enero 19"
2019-01-21 13:22:00,"31 Minutos","La Señora Interesante - Cucky",148413,148.413,2.47,"enero 19"
2019-01-21 13:23:00,"31 Minutos","Bailan Sin Cesar - Latidos Latinos Urbanos Emergentes Hip Hop Hermano Brother",111968,111.968,1.87,"enero 19"
2019-01-21 13:26:00,"31 Minutos","Mi Equilibrio Espiritual - Fredy Turbina",145533,145.533,2.43,"enero 19"
2019-01-21 13:26:00,"31 Minutos","Thank You Policarp For Your Information",16706,16.706,0.28,"enero 19"
2019-01-21 13:29:00,"31 Minutos","Parque De Diversiones",156166,156.166,2.6,"enero 19"
2019-01-21 13:30:00,"31 Minutos","Ratoncitos",80806,80.806,1.35,"enero 19"
2019-01-21 13:32:00,"31 Minutos","Doggy Style - Duque",104333,104.333,1.74,"enero 19"
2019-01-21 13:34:00,"31 Minutos","Mr. Guantecillo",141039,141.039,2.35,"enero 19"
2019-01-21 13:36:00,"31 Minutos","Diente Blanco, No Te Vayas - John Quijada",102160,102.16,1.7,"enero 19"
2019-01-21 13:41:00,"31 Minutos","Navidad en 31 Minutos - Patana y el Resto",137346,137.346,2.29,"enero 19"
2019-01-21 13:45:00,"31 Minutos","31 Minutos",131008,131.008,2.18,"enero 19"
2019-01-21 13:46:00,"31 Minutos","Molinos de Viento Vampiros",43733,43.733,0.73,"enero 19"
2019-01-21 13:49:00,"31 Minutos","Canción De La Leña",6894,6.894,0.11,"enero 19"
2019-01-21 13:49:00,"31 Minutos","Tengo Miedo",4784,4.784,0.08,"enero 19"
2019-01-21 13:49:00,"31 Minutos","Señora, Devuélvame la Pelota o Si No No Sé Lo Qué Haré - Pepe Lota",187000,187,3.12,"enero 19"
2019-01-21 13:51:00,"31 Minutos","Tangananica Tangananá - Hermanos Guarennes",106800,106.8,1.78,"enero 19"
2019-01-21 13:51:00,"31 Minutos","Sí O No",13875,13.875,0.23,"enero 19"
2019-01-21 13:55:00,"31 Minutos","Son Pololos - La Corchetis",203944,203.944,3.4,"enero 19"
2019-01-21 13:56:00,"31 Minutos","Yo Opino - Joe Pino & The Maniacodepresivos",88330,88.33,1.47,"enero 19"
2019-01-21 14:03:00,"31 Minutos","Yo Nunca Vi Televisión (Y Luego Sí Pero Después No) - Tulio Triviño y Sus Amigos",161380,161.38,2.69,"enero 19"
2019-01-21 14:04:00,"31 Minutos","La Alcancía",32462,32.462,0.54,"enero 19"
2019-01-21 14:15:00,"31 Minutos","Rin Raja - Juan Tástico",78859,78.859,1.31,"enero 19"
2019-01-22 01:07:00,"31 Minutos","Qué Te Pasa, Policarpo",9320,9.32,0.16,"enero 19"
2019-01-22 01:07:00,"31 Minutos","Rin Raja - Juan Tástico",31572,31.572,0.53,"enero 19"
2019-01-22 01:10:00,"31 Minutos","La Regla Primordial",105039,105.039,1.75,"enero 19"
2019-01-22 16:23:00,"31 Minutos","Mi Mamá Me Lo Teje Todo - Lino y Lana",1752,1.752,0.03,"enero 19"
2019-01-22 16:23:00,"31 Minutos","La Regla Primordial",60285,60.285,1,"enero 19"
